H0,H1,H2,alias,url,date
"LiveLiveEuropean toll passes 30,000 as Spanish deaths rise",Spain records a record daily death toll as Europe passes another grim milestone in the pandemic.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
"LiveLiveEuropean toll passes 30,000 as Spanish deaths rise",Spain records a record daily death toll as Europe passes another grim milestone in the pandemic.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Spain's deaths soar but infection rate slows,"With more than 9,000 deaths, Spain has the second-highest number of fatalities caused by coronavirus.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Coronavirus outbreak 'greatest test since WW2',"UN boss AntÃ³nio Guterres calls for an ""immediate co-ordinated"" global response to tackle the crisis.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 37 secondsTimelapse shows creation of London virus hospital,The ExCeL centre has become the Nightingale and is due to start taking coronavirus patients this week.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Exclusive Hockney drawings offer 'respite from news',"The artist, who's in lockdown in Normandy, shares 10 soothing paintings of the springtime.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Saudi Arabia asks Muslims to delay Hajj bookings,The kingdom says it is concerned about the safety of pilgrims amid the coronavirus pandemic.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Zoom under increased scrutiny as popularity soars,The New York attorney general has written to the videoconferencing company about its security measures.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Stock markets suffer worst quarter since 1987,The Dow Jones and FTSE 100 have fallen more than 20% since the start of the year.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Climate change clips the nightingale's wings,Rising temperatures may be having a profound impact on one of the world's favourite songbirds.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Virus 'threatens the most vulnerable' in Myanmar,"Around 350,000 people are sitting in the path of a ""public health catastrophe"", says Human Rights Watch.",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Amazon workers strike over virus protection,Some US workers at Amazon and Instacart claim they are not receiving adequate protection.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Hungry black hole may be cosmic 'missing link',Astronomers say they have found the best evidence yet for an elusive class of black hole.,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.123545
,Spain's deaths soar but infection rate slows,"With more than 9,000 deaths, Spain has the second-highest number of fatalities caused by coronavirus.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Coronavirus outbreak 'greatest test since WW2',"UN boss AntÃ³nio Guterres calls for an ""immediate co-ordinated"" global response to tackle the crisis.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Video 37 secondsTimelapse shows creation of London virus hospital,The ExCeL centre has become the Nightingale and is due to start taking coronavirus patients this week.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Exclusive Hockney drawings offer 'respite from news',"The artist, who's in lockdown in Normandy, shares 10 soothing paintings of the springtime.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Saudi Arabia asks Muslims to delay Hajj bookings,The kingdom says it is concerned about the safety of pilgrims amid the coronavirus pandemic.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Zoom under increased scrutiny as popularity soars,The New York attorney general has written to the videoconferencing company about its security measures.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Stock markets suffer worst quarter since 1987,The Dow Jones and FTSE 100 have fallen more than 20% since the start of the year.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Climate change clips the nightingale's wings,Rising temperatures may be having a profound impact on one of the world's favourite songbirds.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Virus 'threatens the most vulnerable' in Myanmar,"Around 350,000 people are sitting in the path of a ""public health catastrophe"", says Human Rights Watch.",bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Amazon workers strike over virus protection,Some US workers at Amazon and Instacart claim they are not receiving adequate protection.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Hungry black hole may be cosmic 'missing link',Astronomers say they have found the best evidence yet for an elusive class of black hole.,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The US governor who saw it coming early,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,A visual guide to the pandemic,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Why some countries wear face masks and others don't,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Loss of smell and taste 'may be coronavirus',,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Lack of testing becomes political problem in UK,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video'Not a holiday': Quarantine in a five-star hotel,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"VideoUS death rates v China, Italy and South Korea",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video'We can't even wash our hands',,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,In pictures: Field hospitals set up around world,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,VideoHow (not) to cut your hair at home,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The unusual ways countries are managing lockdowns,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Trump changes tack as reality hits,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,India's race to build a $650 ventilator,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The man who designs the world's water parks,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Coronavirus: A ticking time-bomb for the Middle East,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Birth in a pandemic: 'You are stronger than you think',,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"My disabled son - â€˜the nobleman, the philanderer, the detectiveâ€™",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Living on a rock in the North Atlantic,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"1968, the year that haunts hundreds of women",,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The godfather of fake news,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Detroit's abandoned jewel,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,What causes an unhealthy stress diet?,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The law saving lives as Covid-19 surges,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The most treasured TV show ever,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,How much of your body is actually you?,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Why children are not immune to Covid-19,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,How to avoid burnout amid a pandemic,,bbcnews,https://www.bbc.com/news,2020-04-01 15:01:22.295648
Exclusive Clips,". Saint Patrick's Cathedral Mass: Wednesday, April 1Dr. Oz calls on NY Governor to lift ban on important COVID-19 medicationDr. Siegel's keys to 'flattening the curve'Doctor on the frontlines gives wish list for battling COVID-19FCC launches $200M COVID-19 telehealth programTucker: WHO chief praises and covers for China. Trump warns Americans to prepare for hard days aheadVin Scully's optimistic view despite coronavirus pandemic",Show More,foxnews,https://www.foxnews.com/,2020-04-01 15:01:21.879971
,"DEADLIEST DAY YETExplosion of coronavirus deaths comes as White House issues grim forecast of up to 240K fatalities2:33Army Corps of Engineers mobilizes across America to combat COVID-19Long Island, NY doctor on front lines against coronavirus: We need personnel and ventilators. Nunes: US must focus more on employment numbers during coronavirus contagionTrump urges Florida governor to allow coronavirus-stricken ship to dock",,foxnews,https://www.foxnews.com/,2020-04-01 15:01:21.879971
Explosion of coronavirus deaths comes as White House issues grim forecast of up to 240K fatalities,"2:33Army Corps of Engineers mobilizes across America to combat COVID-19Long Island, NY doctor on front lines against coronavirus: We need personnel and ventilators. Nunes: US must focus more on employment numbers during coronavirus contagionTrump urges Florida governor to allow coronavirus-stricken ship to dock",,foxnews,https://www.foxnews.com/,2020-04-01 15:01:21.879971
