H0,H1,H2,uri,date
"LiveLiveEuropean toll passes 30,000 as Spanish deaths rise",Spain records a record daily death toll as Europe passes another grim milestone in the pandemic.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
"LiveLiveEuropean toll passes 30,000 as Spanish deaths rise",Spain records a record daily death toll as Europe passes another grim milestone in the pandemic.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Spain's deaths soar but infection rate slows,"With more than 9,000 deaths, Spain has the second-highest number of fatalities caused by coronavirus.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Coronavirus outbreak 'greatest test since WW2',"UN boss AntÃ³nio Guterres calls for an ""immediate co-ordinated"" global response to tackle the crisis.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 37 secondsTimelapse shows creation of London virus hospital,The ExCeL centre has become the Nightingale and is due to start taking coronavirus patients this week.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Exclusive Hockney drawings offer 'respite from news',"The artist, who's in lockdown in Normandy, shares 10 soothing paintings of the springtime.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Saudi Arabia asks Muslims to delay Hajj bookings,The kingdom says it is concerned about the safety of pilgrims amid the coronavirus pandemic.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Zoom under increased scrutiny as popularity soars,The New York attorney general has written to the videoconferencing company about its security measures.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Stock markets suffer worst quarter since 1987,The Dow Jones and FTSE 100 have fallen more than 20% since the start of the year.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Climate change clips the nightingale's wings,Rising temperatures may be having a profound impact on one of the world's favourite songbirds.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Virus 'threatens the most vulnerable' in Myanmar,"Around 350,000 people are sitting in the path of a ""public health catastrophe"", says Human Rights Watch.",,https://www.bbc.com/news,2020-04-01 15:01:22.123545
Amazon workers strike over virus protection,Some US workers at Amazon and Instacart claim they are not receiving adequate protection.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
